# Sinographic Integration Lexicon - 1500 Core Words
# Format: English,Hanzi,Pinyin,POS,Category,Priority,Logic
# 注：功能词(代词、冠词、助动词等)保留英文原词，用"(保留)"标记

# 1-100: 最高频功能词和核心概念
flute,笛,dí,n,Modern/Abstract,5,T1
art,艺,yì,n,Modern/Abstract,2,T1
painting,画,huà,n,Modern/Abstract,3,T1
drawing,画,huà,n,Modern/Abstract,3,T3
picture,图,tú,n,Modern/Abstract,2,T1
photo,照,zhào,n,Modern/Abstract,3,T2
camera,相,xiàng,n,Modern/Abstract,3,T2
movie,电,diàn,n,Modern/Abstract,2,T3
film,影,yǐng,n,Modern/Abstract,2,T1
video,视,shì,n,Modern/Abstract,3,T1
television,电,diàn,n,Modern/Abstract,2,T3
radio,无,wú,n,Modern/Abstract,3,T3
computer,电,diàn,n,Modern/Abstract,1,T3
laptop,笔,bǐ,n,Modern/Abstract,3,T3
tablet,平,píng,n,Modern/Abstract,4,T3
phone,话,huà,n,Modern/Abstract,1,T3
smartphone,智,zhì,n,Modern/Abstract,3,T5
internet,网,wǎng,n,Modern/Abstract,2,T3
website,网,wǎng,n,Modern/Abstract,3,T5
app,应,yìng,n,Modern/Abstract,3,T3
software,软,ruǎn,n,Modern/Abstract,3,T5
hardware,硬,yìng,n,Modern/Abstract,4,T5
program,程,chéng,n,Modern/Abstract,3,T1
code,码,mǎ,n,Modern/Abstract,3,T1
data,数,shù,n,Modern/Abstract,3,T3
information,信,xìn,n,Modern/Abstract,2,T1
knowledge,知,zhī,n,Modern/Abstract,2,T3
wisdom,智,zhì,n,Modern/Abstract,3,T1

# 601-700: 更多抽象和现代概念
thought,想,xiǎng,n,Modern/Abstract,2,T1
idea,念,niàn,n,Modern/Abstract,2,T1
concept,念,niàn,n,Modern/Abstract,3,T3
theory,论,lùn,n,Modern/Abstract,3,T1
principle,理,lǐ,n,Modern/Abstract,3,T1
rule,规,guī,n,Modern/Abstract,2,T1
law,法,fǎ,n,Modern/Abstract,2,T1
system,系,xì,n,Modern/Abstract,2,T1
method,法,fǎ,n,Modern/Abstract,2,T3
way,道,dào,n,Modern/Abstract,1,T1
path,径,jìng,n,Modern/Abstract,3,T1
approach,途,tú,n,Modern/Abstract,3,T1
solution,解,jiě,n,Modern/Abstract,3,T1
answer,答,dá,n,Modern/Abstract,2,T1
question,问,wèn,n,Modern/Abstract,2,T1
problem,题,tí,n,Modern/Abstract,2,T1
issue,问,wèn,n,Modern/Abstract,2,T3
challenge,挑,tiǎo,n,Modern/Abstract,3,T1
difficulty,困,kùn,n,Modern/Abstract,3,T1
obstacle,障,zhàng,n,Modern/Abstract,4,T1
barrier,障,zhàng,n,Modern/Abstract,4,T3
limit,限,xiàn,n,Modern/Abstract,3,T1
boundary,界,jiè,n,Modern/Abstract,3,T1
border,边,biān,n,Modern/Abstract,3,T3
edge,缘,yuán,n,Modern/Abstract,3,T2
center,核,hé,n,Modern/Abstract,3,T2
core,核,hé,n,Modern/Abstract,3,T3
essence,本,běn,n,Modern/Abstract,4,T1
nature,质,zhì,n,Modern/Abstract,3,T3
quality,质,zhì,n,Modern/Abstract,3,T3
character,性,xìng,n,Modern/Abstract,3,T1
personality,格,gé,n,Modern/Abstract,3,T1
behavior,行,xíng,n,Modern/Abstract,3,T3
action,行,xíng,n,Modern/Abstract,2,T3
activity,活,huó,n,Modern/Abstract,2,T3
movement,动,dòng,n,Modern/Abstract,3,T3
motion,动,dòng,n,Modern/Abstract,4,T3
change,变,biàn,n,Modern/Abstract,2,T1
transformation,转,zhuǎn,n,Modern/Abstract,4,T2
development,发,fā,n,Modern/Abstract,2,T2
progress,进,jìn,n,Modern/Abstract,3,T1
improvement,改,gǎi,n,Modern/Abstract,3,T1
growth,长,zhǎng,n,Modern/Abstract,3,T1
increase,增,zēng,n,Modern/Abstract,3,T1
decrease,减,jiǎn,n,Modern/Abstract,3,T1
reduction,减,jiǎn,n,Modern/Abstract,4,T3
expansion,扩,kuò,n,Modern/Abstract,4,T1
contraction,缩,suō,n,Modern/Abstract,4,T1
creation,创,chuàng,n,Modern/Abstract,3,T1
destruction,毁,huǐ,n,Modern/Abstract,4,T1
construction,建,jiàn,n,Modern/Abstract,3,T1
production,产,chǎn,n,Modern/Abstract,3,T1
manufacturing,制,zhì,n,Modern/Abstract,4,T1
industry,工,gōng,n,Modern/Abstract,3,T3
factory,厂,chǎng,n,Modern/Abstract,3,T1
machine,机,jī,n,Modern/Abstract,3,T1
tool,工,gōng,n,Modern/Abstract,2,T3
equipment,设,shè,n,Modern/Abstract,3,T1
device,装,zhuāng,n,Modern/Abstract,3,T1
appliance,器,qì,n,Modern/Abstract,4,T3
gadget,器,qì,n,Modern/Abstract,4,T3
technology,技,jì,n,Modern/Abstract,2,T1
science,科,kē,n,Modern/Abstract,2,T1
mathematics,数,shù,n,Modern/Abstract,3,T1
physics,物,wù,n,Modern/Abstract,4,T3
chemistry,化,huà,n,Modern/Abstract,4,T1
biology,生,shēng,n,Modern/Abstract,4,T1
medicine,医,yī,n,Modern/Abstract,2,T1
engineering,工,gōng,n,Modern/Abstract,4,T3
architecture,建,jiàn,n,Modern/Abstract,4,T1
design,设,shè,n,Modern/Abstract,3,T1
plan,计,jì,n,Modern/Abstract,2,T1
strategy,策,cè,n,Modern/Abstract,3,T1
tactic,术,shù,n,Modern/Abstract,4,T1
goal,目,mù,n,Modern/Abstract,2,T1
target,标,biāo,n,Modern/Abstract,3,T1
objective,的,dì,n,Modern/Abstract,3,T3
purpose,目,mù,n,Modern/Abstract,3,T3
aim,旨,zhǐ,n,Modern/Abstract,4,T1
intention,意,yì,n,Modern/Abstract,3,T1
desire,欲,yù,n,Modern/Abstract,3,T1
wish,愿,yuàn,n,Modern/Abstract,3,T1
hope,望,wàng,n,Modern/Abstract,2,T1

# 701-800: 情感和关系
emotion,情,qíng,n,Modern/Abstract,2,T1
feeling,感,gǎn,n,Modern/Abstract,2,T1
mood,绪,xù,n,Modern/Abstract,3,T1
attitude,态,tài,n,Modern/Abstract,3,T1
love,爱,ài,n,Modern/Abstract,1,T1
hate,恨,hèn,n,Modern/Abstract,3,T1
anger,怒,nù,n,Modern/Abstract,3,T1
joy,喜,xǐ,n,Modern/Abstract,3,T1
happiness,乐,lè,n,Modern/Abstract,3,T1
sadness,悲,bēi,n,Modern/Abstract,3,T1
fear,恐,kǒng,n,Modern/Abstract,3,T1
anxiety,忧,yōu,n,Modern/Abstract,4,T1
worry,虑,lǜ,n,Modern/Abstract,3,T1
stress,压,yā,n,Modern/Abstract,3,T2
pressure,压,yā,n,Modern/Abstract,3,T3
tension,紧,jǐn,n,Modern/Abstract,4,T2
relaxation,松,sōng,n,Modern/Abstract,4,T1
peace,和,hé,n,Modern/Abstract,2,T1
calm,静,jìng,n,Modern/Abstract,3,T1
excitement,兴,xīng,n,Modern/Abstract,3,T2
surprise,惊,jīng,n,Modern/Abstract,3,T1
shock,震,zhèn,n,Modern/Abstract,4,T2
disappointment,失,shī,n,Modern/Abstract,4,T2
satisfaction,满,mǎn,n,Modern/Abstract,4,T2
contentment,足,zú,n,Modern/Abstract,5,T1
pleasure,悦,yuè,n,Modern/Abstract,4,T1
pain,苦,kǔ,n,Modern/Abstract,3,T2
suffering,痛,tòng,n,Modern/Abstract,4,T1
comfort,舒,shū,n,Modern/Abstract,3,T1
ease,适,shì,n,Modern/Abstract,3,T1
difficulty,难,nán,n,Modern/Abstract,3,T3
challenge,战,zhàn,n,Modern/Abstract,3,T2
struggle,斗,dòu,n,Modern/Abstract,3,T1
conflict,冲,chōng,n,Modern/Abstract,3,T1
fight,争,zhēng,n,Modern/Abstract,3,T1
war,战,zhàn,n,Modern/Abstract,3,T1
peace,平,píng,n,Modern/Abstract,2,T1
agreement,协,xié,n,Modern/Abstract,3,T1
disagreement,异,yì,n,Modern/Abstract,4,T2
compromise,妥,tuǒ,n,Modern/Abstract,4,T1
negotiation,谈,tán,n,Modern/Abstract,4,T3
discussion,论,lùn,n,Modern/Abstract,3,T3
conversation,话,huà,n,Modern/Abstract,3,T1
communication,通,tōng,n,Modern/Abstract,3,T1
message,信,xìn,n,Modern/Abstract,2,T1
news,新,xīn,n,Modern/Abstract,2,T3
information,讯,xùn,n,Modern/Abstract,2,T2
report,报,bào,n,Modern/Abstract,3,T1
story,报,bào,n,Modern/Abstract,3,T3
article,文,wén,n,Modern/Abstract,3,T1
essay,文,wén,n,Modern/Abstract,4,T3
paper,论,lùn,n,Modern/Abstract,4,T3
thesis,论,lùn,n,Modern/Abstract,5,T3
dissertation,论,lùn,n,Modern/Abstract,5,T3
research,研,yán,n,Modern/Abstract,3,T1
study,究,jiū,n,Modern/Abstract,3,T1
experiment,验,yàn,n,Modern/Abstract,4,T1
test,验,yàn,n,Modern/Abstract,2,T3
examination,检,jiǎn,n,Modern/Abstract,4,T1
analysis,分,fēn,n,Modern/Abstract,3,T1
evaluation,评,píng,n,Modern/Abstract,4,T1
assessment,估,gū,n,Modern/Abstract,4,T1
judgment,判,pàn,n,Modern/Abstract,3,T1
decision,决,jué,n,Modern/Abstract,2,T1
choice,选,xuǎn,n,Modern/Abstract,2,T1
option,择,zé,n,Modern/Abstract,3,T1
alternative,替,tì,n,Modern/Abstract,4,T1
preference,偏,piān,n,Modern/Abstract,4,T1
favorite,爱,ài,n,Modern/Abstract,3,T3
like,喜,xǐ,n,Modern/Abstract,2,T3
dislike,厌,yàn,n,Modern/Abstract,4,T1
aversion,恶,wù,n,Modern/Abstract,5,T1
attraction,吸,xī,n,Modern/Abstract,4,T2
repulsion,斥,chì,n,Modern/Abstract,5,T1
interest,趣,qù,n,Modern/Abstract,3,T1
curiosity,奇,qí,n,Modern/Abstract,4,T1
boredom,烦,fán,n,Modern/Abstract,4,T1
entertainment,娱,yú,n,Modern/Abstract,3,T1
amusement,乐,lè,n,Modern/Abstract,4,T3
fun,趣,qù,n,Modern/Abstract,3,T3
game,戏,xì,n,Modern/Abstract,2,T1
play,玩,wán,n,Modern/Abstract,2,T3
sport,运,yùn,n,Modern/Abstract,2,T2
exercise,练,liàn,n,Modern/Abstract,3,T1
training,训,xùn,n,Modern/Abstract,3,T1
practice,练,liàn,n,Modern/Abstract,3,T3

# 801-900: 社会和制度
society,社,shè,n,People/Society,2,T1
community,社,shè,n,People/Society,3,T3
group,群,qún,n,People/Society,2,T1
team,队,duì,n,People/Society,2,T1
organization,组,zǔ,n,People/Society,3,T1
institution,机,jī,n,People/Society,4,T1
association,会,huì,n,People/Society,4,T1
club,俱,jù,n,People/Society,4,T3
company,公,gōng,n,People/Society,2,T1
corporation,公,gōng,n,People/Society,3,T3
business,企,qǐ,n,People/Society,2,T1
enterprise,企,qǐ,n,People/Society,4,T3
industry,业,yè,n,People/Society,3,T3
sector,门,mén,n,People/Society,4,T3
field,领,lǐng,n,People/Society,3,T2
domain,域,yù,n,People/Society,4,T1
area,域,yù,n,People/Society,3,T3
realm,界,jiè,n,People/Society,4,T1
world,界,jiè,n,People/Society,2,T3
universe,宇,yǔ,n,People/Society,4,T1
cosmos,宙,zhòu,n,People/Society,5,T1
planet,星,xīng,n,People/Society,4,T3
star,恒,héng,n,People/Society,4,T3
galaxy,星,xīng,n,People/Society,5,T3
space,太,tài,n,People/Society,4,T3
time,空,kōng,n,People/Society,3,T2
age,时,shí,n,People/Society,3,T3
era,代,dài,n,People/Society,4,T1
period,期,qī,n,People/Society,3,T1
epoch,纪,jì,n,People/Society,5,T1
century,纪,jì,n,People/Society,4,T3
millennium,千,qiān,n,People/Society,5,T3
history,史,shǐ,n,People/Society,3,T1
past,古,gǔ,n,People/Society,3,T1
present,今,jīn,n,People/Society,3,T1
future,未,wèi,n,People/Society,3,T1
tradition,传,chuán,n,People/Society,3,T1
culture,文,wén,n,People/Society,2,T1
custom,俗,sú,n,People/Society,4,T1
habit,惯,guàn,n,People/Society,4,T1
practice,惯,guàn,n,People/Society,3,T3
ritual,礼,lǐ,n,People/Society,4,T1
ceremony,仪,yí,n,People/Society,4,T1
religion,宗,zōng,n,People/Society,3,T1
belief,信,xìn,n,People/Society,3,T1
faith,信,xìn,n,People/Society,4,T3
god,神,shén,n,People/Society,3,T1
deity,神,shén,n,People/Society,5,T3
spirit,灵,líng,n,People/Society,4,T1
ghost,鬼,guǐ,n,People/Society,4,T1
soul,魂,hún,n,People/Society,4,T1
mind,心,xīn,n,People/Society,2,T1
brain,脑,nǎo,n,People/Society,3,T1
thought,思,sī,n,People/Society,2,T1
idea,想,xiǎng,n,People/Society,2,T3
concept,念,niàn,n,People/Society,3,T1
notion,念,niàn,n,People/Society,4,T3
perception,觉,jué,n,People/Society,4,T1
awareness,知,zhī,n,People/Society,4,T3
consciousness,识,shí,n,People/Society,4,T1
unconscious,潜,qián,n,People/Society,5,T1
subconscious,潜,qián,n,People/Society,5,T3
memory,记,jì,n,People/Society,3,T1
recall,忆,yì,n,People/Society,4,T1
forgetting,忘,wàng,n,People/Society,4,T1
learning,学,xué,n,People/Society,2,T1
education,教,jiào,n,People/Society,2,T1
teaching,教,jiào,n,People/Society,3,T3
instruction,授,shòu,n,People/Society,4,T1
training,训,xùn,n,People/Society,3,T1
guidance,导,dǎo,n,People/Society,4,T1
advice,劝,quàn,n,People/Society,3,T1
suggestion,议,yì,n,People/Society,3,T1
recommendation,荐,jiàn,n,People/Society,4,T1
warning,警,jǐng,n,People/Society,3,T1
caution,慎,shèn,n,People/Society,4,T1
danger,险,xiǎn,n,People/Society,3,T1
risk,风,fēng,n,People/Society,3,T2
threat,威,wēi,n,People/Society,4,T1
security,安,ān,n,People/Society,3,T1
safety,全,quán,n,People/Society,3,T1
protection,护,hù,n,People/Society,3,T1
defense,防,fáng,n,People/Society,3,T1

# 901-1000: 继续抽象和关系
relationship,关,guān,n,Relations/Functions,2,T1
connection,联,lián,n,Relations/Functions,3,T1
link,链,liàn,n,Relations/Functions,3,T1
bond,纽,niǔ,n,Relations/Functions,4,T1
tie,系,xì,n,Relations/Functions,3,T1
association,联,lián,n,Relations/Functions,3,T3
correlation,关,guān,n,Relations/Functions,4,T3
interaction,互,hù,n,Relations/Functions,4,T1
communication,沟,gōu,n,Relations/Functions,3,T2
exchange,交,jiāo,n,Relations/Functions,3,T1
trade,贸,mào,n,Relations/Functions,3,T1
commerce,商,shāng,n,Relations/Functions,4,T1
business,生,shēng,n,Relations/Functions,3,T3
transaction,易,yì,n,Relations/Functions,4,T1
deal,交,jiāo,n,Relations/Functions,3,T3
agreement,协,xié,n,Relations/Functions,3,T1
contract,合,hé,n,Relations/Functions,4,T1
treaty,约,yuē,n,Relations/Functions,4,T1
pact,约,yuē,n,Relations/Functions,5,T3
alliance,盟,méng,n,Relations/Functions,4,T1
partnership,伙,huǒ,n,Relations/Functions,4,T1
collaboration,合,hé,n,Relations/Functions,4,T3
cooperation,协,xié,n,Relations/Functions,4,T1
competition,竞,jìng,n,Relations/Functions,3,T1
rivalry,争,zhēng,n,Relations/Functions,4,T1
conflict,突,tū,n,Relations/Functions,3,T1
war,争,zhēng,n,Relations/Functions,3,T1
battle,战,zhàn,n,Relations/Functions,3,T1
fight,斗,dòu,n,Relations/Functions,3,T1
struggle,搏,bó,n,Relations/Functions,4,T1
victory,胜,shèng,n,Relations/Functions,3,T1
defeat,败,bài,n,Relations/Functions,3,T1
triumph,凯,kǎi,n,Relations/Functions,5,T1
success,成,chéng,n,Relations/Functions,2,T1
achievement,就,jiù,n,Relations/Functions,3,T1
accomplishment,绩,jì,n,Relations/Functions,4,T1
failure,失,shī,n,Relations/Functions,3,T1
mistake,误,wù,n,Relations/Functions,3,T1
error,错,cuò,n,Relations/Functions,3,T1
fault,过,guò,n,Relations/Functions,3,T1
flaw,瑕,xiá,n,Relations/Functions,4,T1
defect,缺,quē,n,Relations/Functions,4,T1
weakness,弱,ruò,n,Relations/Functions,3,T1
strength,强,qiáng,n,Relations/Functions,2,T1
advantage,优,yōu,n,Relations/Functions,3,T1
benefit,利,lì,n,Relations/Functions,3,T1
profit,益,yì,n,Relations/Functions,3,T1
gain,得,dé,n,Relations/Functions,3,T3
loss,损,sǔn,n,Relations/Functions,3,T1
cost,本,běn,n,Relations/Functions,3,T2
expense,费,fèi,n,Relations/Functions,3,T1
price,价,jià,n,Relations/Functions,2,T1
value,值,zhí,n,Relations/Functions,2,T1
worth,值,zhí,n,Relations/Functions,3,T3
importance,要,yào,n,Relations/Functions,2,T2
significance,意,yì,n,Relations/Functions,3,T1
meaning,义,yì,n,Relations/Functions,3,T1
sense,义,yì,n,Relations/Functions,3,T3
purpose,用,yòng,n,Relations/Functions,3,T2
function,功,gōng,n,Relations/Functions,3,T1
role,角,jué,n,Relations/Functions,3,T1
position,位,wèi,n,Relations/Functions,3,T1
status,状,zhuàng,n,Relations/Functions,3,T1
rank,级,jí,n,Relations/Functions,3,T1
level,层,céng,n,Relations/Functions,3,T1
degree,度,dù,n,Relations/Functions,3,T1
extent,度,dù,n,Relations/Functions,4,T3
amount,量,liàng,n,Relations/Functions,3,T1
quantity,数,shù,n,Relations/Functions,3,T3
number,数,shù,n,Relations/Functions,2,T1
figure,数,shù,n,Relations/Functions,3,T3
digit,位,wèi,n,Relations/Functions,4,T2
numeral,数,shù,n,Relations/Functions,5,T3
percentage,分,fēn,n,Relations/Functions,4,T1
fraction,分,fēn,n,Relations/Functions,5,T3
decimal,点,diǎn,n,Relations/Functions,5,T3
zero,零,líng,n,Relations/Functions,4,T1
one,一,yī,n,Relations/Functions,2,T1
two,二,èr,n,Relations/Functions,2,T1
three,三,sān,n,Relations/Functions,2,T1
four,四,sì,n,Relations/Functions,2,T1
five,五,wǔ,n,Relations/Functions,2,T1
six,六,liù,n,Relations/Functions,3,T1
seven,七,qī,n,Relations/Functions,3,T1
eight,八,bā,n,Relations/Functions,3,T1
nine,九,jiǔ,n,Relations/Functions,3,T1
ten,十,shí,n,Relations/Functions,3,T1
hundred,百,bǎi,n,Relations/Functions,3,T1
thousand,千,qiān,n,Relations/Functions,3,T1
million,百,bǎi,n,Relations/Functions,4,T3
billion,十,shí,n,Relations/Functions,5,T3
trillion,兆,zhào,n,Relations/Functions,5,T1
infinity,无,wú,n,Relations/Functions,5,T1
eternity,永,yǒng,n,Relations/Functions,5,T1
forever,永,yǒng,n,Relations/Functions,4,T3
always,总,zǒng,n,Relations/Functions,3,T2
never,从,cóng,n,Relations/Functions,3,T2
sometimes,有,yǒu,n,Relations/Functions,3,T3
often,常,cháng,n,Relations/Functions,3,T1
rarely,罕,hǎn,n,Relations/Functions,4,T1
frequently,频,pín,n,Relations/Functions,4,T1
occasionally,偶,ǒu,n,Relations/Functions,4,T1
usually,通,tōng,n,Relations/Functions,3,T2
normally,通,tōng,n,Relations/Functions,4,T3
typically,典,diǎn,n,Relations/Functions,4,T3
generally,一,yī,n,Relations/Functions,4,T2
specifically,特,tè,n,Relations/Functions,4,T2
particularly,尤,yóu,n,Relations/Functions,4,T1
especially,尤,yóu,n,Relations/Functions,4,T3
mainly,主,zhǔ,n,Relations/Functions,3,T1
mostly,多,duō,n,Relations/Functions,3,T2
partly,部,bù,n,Relations/Functions,4,T2
completely,完,wán,n,Relations/Functions,3,T1
totally,全,quán,n,Relations/Functions,3,T1
entirely,整,zhěng,n,Relations/Functions,4,T1
absolutely,绝,jué,n,Relations/Functions,4,T1
relatively,相,xiāng,n,Relations/Functions,4,T1
comparatively,较,jiào,n,Relations/Functions,4,T1
similarly,似,sì,n,Relations/Functions,4,T1
differently,异,yì,n,Relations/Functions,4,T1
oppositely,反,fǎn,n,Relations/Functions,4,T1
contrarily,逆,nì,n,Relations/Functions,5,T1

# 1001-1100: 继续关系和程度副词
now,现,xiàn,adv,Relations/Functions,1,T1
then,然,rán,adv,Relations/Functions,1,T2
later,后,hòu,adv,Relations/Functions,2,T1
soon,快,kuài,adv,Relations/Functions,2,T1
early,早,zǎo,adv,Relations/Functions,2,T1
late,晚,wǎn,adv,Relations/Functions,2,T1
recently,近,jìn,adv,Relations/Functions,2,T1
currently,当,dāng,adv,Relations/Functions,3,T1
presently,目,mù,adv,Relations/Functions,4,T3
formerly,昔,xī,adv,Relations/Functions,4,T1
previously,前,qián,adv,Relations/Functions,3,T1
initially,初,chū,adv,Relations/Functions,4,T1
finally,终,zhōng,adv,Relations/Functions,2,T1
eventually,终,zhōng,adv,Relations/Functions,3,T3
ultimately,极,jí,adv,Relations/Functions,4,T1
suddenly,突,tū,adv,Relations/Functions,3,T1
gradually,渐,jiàn,adv,Relations/Functions,4,T1
slowly,慢,màn,adv,Relations/Functions,3,T1
quickly,快,kuài,adv,Relations/Functions,3,T1
rapidly,迅,xùn,adv,Relations/Functions,4,T1
immediately,立,lì,adv,Relations/Functions,3,T1
instantly,即,jí,adv,Relations/Functions,4,T1
directly,直,zhí,adv,Relations/Functions,3,T1
indirectly,间,jiàn,adv,Relations/Functions,4,T1
clearly,明,míng,adv,Relations/Functions,3,T1
obviously,显,xiǎn,adv,Relations/Functions,3,T1
apparently,显,xiǎn,adv,Relations/Functions,4,T3
evidently,明,míng,adv,Relations/Functions,4,T3
certainly,必,bì,adv,Relations/Functions,3,T1
definitely,定,dìng,adv,Relations/Functions,3,T1
surely,确,què,adv,Relations/Functions,3,T1
probably,概,gài,adv,Relations/Functions,3,T1
possibly,可,kě,adv,Relations/Functions,3,T1
perhaps,或,huò,adv,Relations/Functions,3,T1
maybe,或,huò,adv,Relations/Functions,2,T3
likely,或,huò,adv,Relations/Functions,3,T3
unlikely,难,nán,adv,Relations/Functions,4,T3
actually,实,shí,adv,Relations/Functions,3,T1
really,真,zhēn,adv,Relations/Functions,2,T1
truly,实,shí,adv,Relations/Functions,3,T3
genuinely,真,zhēn,adv,Relations/Functions,4,T3
honestly,诚,chéng,adv,Relations/Functions,3,T1
frankly,坦,tǎn,adv,Relations/Functions,4,T1
seriously,严,yán,adv,Relations/Functions,3,T1
jokingly,戏,xì,adv,Relations/Functions,4,T1
basically,基,jī,adv,Relations/Functions,3,T1
essentially,本,běn,adv,Relations/Functions,4,T1
fundamentally,根,gēn,adv,Relations/Functions,4,T1
simply,简,jiǎn,adv,Relations/Functions,3,T1
merely,仅,jǐn,adv,Relations/Functions,4,T1
only,只,zhǐ,adv,Relations/Functions,1,T1
just,仅,jǐn,adv,Relations/Functions,1,T2
exactly,恰,qià,adv,Relations/Functions,3,T1
precisely,精,jīng,adv,Relations/Functions,4,T1
accurately,准,zhǔn,adv,Relations/Functions,4,T1
approximately,约,yuē,adv,Relations/Functions,4,T1
roughly,粗,cū,adv,Relations/Functions,4,T1
about,约,yuē,adv,Relations/Functions,2,T2
around,约,yuē,adv,Relations/Functions,2,T3
nearly,近,jìn,adv,Relations/Functions,3,T1
almost,几,jǐ,adv,Relations/Functions,2,T2
hardly,几,jǐ,adv,Relations/Functions,3,T3
barely,仅,jǐn,adv,Relations/Functions,4,T3
scarcely,罕,hǎn,adv,Relations/Functions,5,T1
slightly,稍,shāo,adv,Relations/Functions,3,T1
somewhat,有,yǒu,adv,Relations/Functions,3,T2
considerably,相,xiāng,adv,Relations/Functions,4,T1
significantly,显,xiǎn,adv,Relations/Functions,4,T1
substantially,实,shí,adv,Relations/Functions,4,T1
dramatically,戏,xì,adv,Relations/Functions,5,T3
radically,根,gēn,adv,Relations/Functions,5,T1
moderately,中,zhōng,adv,Relations/Functions,5,T1
mildly,温,wēn,adv,Relations/Functions,5,T1
strongly,强,qiáng,adv,Relations/Functions,3,T1
weakly,弱,ruò,adv,Relations/Functions,4,T1
firmly,坚,jiān,adv,Relations/Functions,4,T1
loosely,松,sōng,adv,Relations/Functions,4,T1
tightly,紧,jǐn,adv,Relations/Functions,4,T1
securely,安,ān,adv,Relations/Functions,4,T1
safely,安,ān,adv,Relations/Functions,3,T3
dangerously,危,wēi,adv,Relations/Functions,4,T1
carefully,小,xiǎo,adv,Relations/Functions,3,T2
cautiously,谨,jǐn,adv,Relations/Functions,4,T1
recklessly,鲁,lǔ,adv,Relations/Functions,5,T1
boldly,勇,yǒng,adv,Relations/Functions,4,T1
bravely,勇,yǒng,adv,Relations/Functions,4,T3
cowardly,怯,qiè,adv,Relations/Functions,5,T1

# 1101-1200: 现代概念和科技
computer,算,suàn,n,Modern/Abstract,1,T2
software,软,ruǎn,n,Modern/Abstract,3,T1
hardware,硬,yìng,n,Modern/Abstract,4,T1
program,程,chéng,n,Modern/Abstract,3,T1
algorithm,算,suàn,n,Modern/Abstract,4,T1
code,码,mǎ,n,Modern/Abstract,3,T1
data,据,jù,n,Modern/Abstract,3,T1
database,库,kù,n,Modern/Abstract,4,T1
server,服,fú,n,Modern/Abstract,4,T1
network,网,wǎng,n,Modern/Abstract,3,T1
internet,互,hù,n,Modern/Abstract,2,T2
web,网,wǎng,n,Modern/Abstract,3,T3
website,站,zhàn,n,Modern/Abstract,3,T1
page,页,yè,n,Modern/Abstract,2,T1
link,链,liàn,n,Modern/Abstract,3,T1
browser,浏,liú,n,Modern/Abstract,4,T1
search,搜,sōu,n,Modern/Abstract,3,T1
engine,擎,qíng,n,Modern/Abstract,4,T1
email,邮,yóu,n,Modern/Abstract,3,T1
message,信,xìn,n,Modern/Abstract,2,T1
chat,聊,liáo,n,Modern/Abstract,3,T1
social,社,shè,adj,Modern/Abstract,2,T1
media,媒,méi,n,Modern/Abstract,3,T1
digital,数,shù,adj,Modern/Abstract,3,T1
virtual,虚,xū,adj,Modern/Abstract,4,T1
real,实,shí,adj,Modern/Abstract,2,T1
online,线,xiàn,adj,Modern/Abstract,3,T1
offline,下,xià,adj,Modern/Abstract,4,T1
mobile,移,yí,adj,Modern/Abstract,3,T1
wireless,无,wú,adj,Modern/Abstract,4,T1
connected,连,lián,adj,Modern/Abstract,3,T1
disconnected,断,duàn,adj,Modern/Abstract,4,T1
automated,自,zì,adj,Modern/Abstract,4,T1
manual,手,shǒu,adj,Modern/Abstract,4,T1
automatic,自,zì,adj,Modern/Abstract,3,T1
electronic,电,diàn,adj,Modern/Abstract,3,T1
electric,电,diàn,adj,Modern/Abstract,3,T3
mechanical,机,jī,adj,Modern/Abstract,4,T1
robotic,机,jī,adj,Modern/Abstract,5,T3
artificial,人,rén,adj,Modern/Abstract,4,T2
intelligent,智,zhì,adj,Modern/Abstract,3,T1
smart,聪,cōng,adj,Modern/Abstract,3,T1
dumb,笨,bèn,adj,Modern/Abstract,4,T1
efficient,效,xiào,adj,Modern/Abstract,3,T1
effective,效,xiào,adj,Modern/Abstract,3,T3
productive,产,chǎn,adj,Modern/Abstract,4,T1
creative,创,chuàng,adj,Modern/Abstract,3,T1
innovative,创,chuàng,adj,Modern/Abstract,4,T3
original,原,yuán,adj,Modern/Abstract,3,T1
unique,独,dú,adj,Modern/Abstract,3,T1
special,特,tè,adj,Modern/Abstract,2,T1
ordinary,普,pǔ,adj,Modern/Abstract,3,T1
normal,常,cháng,adj,Modern/Abstract,2,T1
standard,标,biāo,adj,Modern/Abstract,3,T1
basic,基,jī,adj,Modern/Abstract,2,T1
fundamental,基,jī,adj,Modern/Abstract,4,T3
essential,必,bì,adj,Modern/Abstract,3,T1
necessary,需,xū,adj,Modern/Abstract,2,T1
optional,选,xuǎn,adj,Modern/Abstract,4,T1
voluntary,自,zì,adj,Modern/Abstract,5,T1
compulsory,强,qiáng,adj,Modern/Abstract,5,T1
mandatory,强,qiáng,adj,Modern/Abstract,5,T3
legal,法,fǎ,adj,Modern/Abstract,3,T1
illegal,非,fēi,adj,Modern/Abstract,4,T1
lawful,合,hé,adj,Modern/Abstract,5,T1
unlawful,违,wéi,adj,Modern/Abstract,5,T1
ethical,德,dé,adj,Modern/Abstract,4,T1
moral,道,dào,adj,Modern/Abstract,4,T1
immoral,不,bù,adj,Modern/Abstract,5,T2
